results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES Adı,results/attributes/Kurum,results/attributes/Aşaması(seç),results/attributes/Akarsu Adı,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Poyraz  ,162,Poyraz,Özel(Yap İşlet Devret),SKHA,Andırın Suyu,Point,esriGeometryPoint,36.33192930634524,37.44912896355838,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Değirmen,1423,Değirmen,Özel(Yap İşlet Devret),Fizibilite,Ceyhan-Değirmendere,Point,esriGeometryPoint,36.46060476566996,37.43167404605977,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Güvercin  HES,156,Güvercin  HES,Özel(Yap İşlet Devret),Fizibilite,Çağırgan D.,Point,esriGeometryPoint,36.58429855020409,37.443669889900114,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ceyhan,1498,Ceyhan,Kamu,isletmede,Ceyhan N.,Point,esriGeometryPoint,36.82341932245249,37.65554006151249,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kandil,1427,Kandil,Özel(Yap İşlet Devret),Insa Halinde,Ceyhan,Point,esriGeometryPoint,37.02285683484316,37.97574592416432,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Zeyve HES,538,Zeyve HES,Özel(Yap İşlet),SKHA,Zeyve Ç.,Point,esriGeometryPoint,32.94132698231001,36.50746503625481,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kepezkaya HES,541,Kepezkaya HES,Özel(Yap İşlet),SKHA,Göksu,Point,esriGeometryPoint,33.0078512274963,36.95338117344151,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ege -3 HES,884,Ege -3 HES,Özel(Yap İşlet),Fizibilite,Valay Ç.,Point,esriGeometryPoint,33.23807115057453,41.81563476007762,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Azmak I HES,26,Azmak I HES,Özel(Yap İşlet),SKHA,Ermenek Ç.,Point,esriGeometryPoint,33.29351000461659,36.56734491457368,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kirpilik  HES,28,Kirpilik  HES,Özel(Yap İşlet),SKHA,Ermenek Ç.,Point,esriGeometryPoint,33.34857510274171,36.58332439437224,4326,4326
